cn,en,pt_br,category,notes
诡秘之主,Lord of the Mysteries,Senhor dos Mistérios,title,título do jogo/obra
非凡者,Beyonder,Beyonder,concept,manter em inglês (consolidado na fandom PT)
序列,Sequence,Sequência,concept,"ex: Sequência 9"
途径,Pathway,Caminho,concept,"as 22 rotas de poder"
魔药,Beyonder potion,poção,item,poção de Sequência
魔药配方,potion formula,fórmula da poção,item,
扮演法,Acting Method,Método de Atuação,concept,técnica de digestão de poção
失控,Loss of Control,Perda de Controle,concept,
神性,divinity,divindade,concept,
非凡特性,Beyonder characteristic,característica de Beyonder,concept,
定序,Sequence stabilization,estabilização de Sequência,concept,
古代神,Ancient God,Deus Antigo,faction,
外神,Outer Deity,Divindade Exterior,faction,
造物主,Creator,Criador,character,
天使,Angel,Anjo,concept,Sequência 1
半神,demigod,semideus,concept,Sequência 4-3
灰雾,Gray Fog,Névoa Cinzenta,place,acima do palácio do Tolo
神秘空间,mysterious space,espaço misterioso,place,
历史虚空,historical void,vazio histórico,place,
throne,throne,trono,concept,
