cn,en,pt_br,category,notes
克莱恩·莫雷蒂,Klein Moretti,Klein Moretti,character,protagonista
周明瑞,Zhou Mingrui,Zhou Mingrui,character,identidade original
"格尔曼·斯帕罗",Gehrman Sparrow,Gehrman Sparrow,character,identidade de Klein
罗塞尔,Roselle,Roselle,character,"Imperador Roselle / o Tirano"
阿蒙,Amon,Amon,character,Sequência 1 do Erro
阿兹克,Adam,Adam,character,"o Fundador / Rei Anjo"
奥黛丽·霍尔,Audrey Hall,Audrey Hall,character,A Justiça
阿尔杰·威尔逊,Alger Wilson,Alger Wilson,character,O Enforcado
邓恩·史密斯,Dunn Smith,Dunn Smith,character,antigo capitão dos Nighthawks
愚者,The Fool,O Tolo,tarot,"'o Tolo que não pertence a este era'"
正义,Justice,A Justiça,tarot,Audrey
倒吊人,The Hanged Man,O Enforcado,tarot,Alger
魔术师,The Magician,O Mago,tarot,
月亮,The Moon,A Lua,tarot,Emlyn
太阳,The Sun,O Sol,tarot,Derrick
黑夜女神,Goddess of the Night,Deusa da Noite,deity,"também 'Senhora da Noite'"
永恒烈阳,Eternal Blazing Sun,Sol Eterno Ardente,deity,
蒸汽与机械之神,God of Steam and Machinery,Deus do Vapor e da Maquinaria,deity,
塔罗会,Tarot Club,Clube do Tarô,faction,
夜莺,Nighthawks,Nighthawks,faction,manter em inglês
教会,Church,Igreja,faction,
罗恩,Loen,Loen,place,Reino de Loen
廷根,Tingen,Tingen,place,cidade
贝克兰德,Backlund,Backlund,place,capital de Loen
