cn,pt_br,notes
先生,senhor,forma de tratamento {{先生|女士}}
女士,senhora,forma de tratamento
小姐,senhorita,
绅士,cavalheiro,
夫人,senhora,
他,ele,pronome
她,ela,pronome
哥们,mano,gíria de tratamento
姐们,mana,
大哥哥,mano,
大姐姐,mana,
哥哥,irmão,
姐姐,irmã,
弟弟,irmão,
妹妹,irmã,
小伙子,rapaz,
小姑娘,garota,
姑娘,moça,
小哥,moço,
叔叔,tio,
姨姨,tia,
阿姨,tia,
学徒,aprendiz,
英俊的先生,belo senhor,
年轻的先生,jovem senhor,
年轻的女士,jovem senhora,
美丽的女士,bela senhora,
美丽的小姐,bela senhorita,
年轻的小姐,jovem senhorita,
优雅的女士,elegante senhora,
优雅的小姐,elegante senhorita,
尊敬的先生,prezado senhor,
尊敬的女士,prezada senhora,
刚才,há pouco,advérbio de tempo
连廷根,até Tingen,cidade
廷根,Tingen,cidade (a mod deixou "Ting根" em alguns lugares)
根市,Tingen,"cidade de Tingen"
邓恩·史密斯,Dunn Smith,Vigia Noturno capitão em Tingen
邓恩,Dunn,
史密斯,Smith,
戴莉,Daly,Vigia Noturno
崔佛,Trevor,
弗莱,Frey,
茜茜,Cici,
贝尔,Bell,
艾德蒙,Edmond,
艾登,Aiden,
薇薇安,Vivian,
莉莉娅,Lília,
黛尔,Dale,
黛丝,Daisy,
莱昂,Leon,
墨菲,Murphy,
库克,Cook,
泰瑞,Terry,
恶龙,Dragão Maligno,taverna "恶龙酒馆"
咸鱼,peixe salgado,apelido/gíria (preguiçoso)
咸鱼派,peixe salgado,
老实人报,O Homem Honesto,jornal
苜蓿号,Trevo,navio
破晓号,Alvorada,navio
愚人号,O Louco,navio
启明号,Estrela d'Alva,navio
向值者,Assessores,organização
黑荆棘,espinho-negro,planta
鬼鲨,tubarão-fantasma,
守知,Guardião do Saber,
守知派,Escola do Saber Oculto,
窥秘人,Espreitador de Segredos,
可学派,Escola do Aprendizado,
灵之虫,verme espiritual,
蒲公英,dente-de-leão,
勿忘我,não-me-esqueças,flor
月见草,prímula,flor
夜香草,erva-da-noite,flor
深眠花,flor do sono profundo,
黑荆棘,espinho-negro,planta
奇异果,kiwi,
口琴,gaita,instrumento
牛尾,rabo de boi,
焦香,aroma tostado,
